,date_CSCO,open_CSCO,close_CSCO,volume_CSCO,high_CSCO,low_CSCO,last_CSCO,date_MRK,open_MRK,close_MRK,volume_MRK,high_MRK,low_MRK,last_MRK,date_MSFT,open_MSFT,close_MSFT,volume_MSFT,high_MSFT,low_MSFT,last_MSFT
130,2020-12-14,44.34000000000012,44.319999999999816,244196.80757097792,44.92,44.155,44.51011041009464,2020-12-14,82.68999999999963,82.95999999999943,141886.59485530548,83.08,80.04,81.45446945337615,2020-12-14,213.76000000000053,213.26000000000056,453127.9265175719,216.2,212.94,214.8988338658148
131,2020-12-15,44.30500000000018,44.23999999999982,255410.44516129032,44.8,44.13,44.55019354838709,2020-12-15,80.77000000000035,80.31999999999977,138200.97222222222,81.01,80.08,80.55180555555557,2020-12-15,214.8300000000013,214.1999999999988,668278.0415335463,215.32,212.26,213.3853354632588
132,2020-12-16,44.819999999999816,44.71999999999977,185833.1170886076,45.145,44.52,44.78253164556959,2020-12-16,80.29999999999954,80.47999999999965,200048.5,80.625,79.67,80.12053125000003,2020-12-16,214.48000000000124,214.12999999999903,329633.8126984127,220.11,214.48,218.3094603174603
133,2020-12-17,44.92000000000006,44.71999999999977,153848.82857142857,44.92,44.595,44.7485238095238,2020-12-17,80.13000000000014,79.83000000000057,64208.90189873418,80.53,79.73,80.10963607594937,2020-12-17,219.9000000000005,219.2799999999992,401490.9034267913,220.86,217.92,218.90099688473487
134,2020-12-18,45.27000000000029,44.81999999999984,211603.4492753623,45.57,44.91,45.20085144927536,2020-12-18,79.38000000000002,79.81999999999977,127778.3192982456,80.16,78.45,79.03208771929829,2020-12-18,217.1399999999996,219.4199999999988,469776.3420074349,218.92,216.075,217.6328996282528
135,2020-12-21,44.45999999999968,45.4400000000001,371028.0588235294,44.955,44.05,44.58125816993464,2020-12-21,78.91500000000059,79.52999999999973,202955.5481927711,79.23,77.745,78.74125000000002,2020-12-21,216.7799999999992,218.5899999999982,502791.358490566,223.995,216.78,220.85003144654087
136,2020-12-22,44.59000000000012,44.879999999999725,190267.0897435897,45.08,44.47,44.86817307692308,2020-12-22,79.0250000000003,79.29000000000057,95193.43408360129,79.99,78.25,79.18850482315112,2020-12-22,223.3300000000013,222.5899999999983,338497.3201320132,225.555,222.26,223.96268976897693
137,2020-12-23,44.7299999999997,44.69000000000011,151690.5220125786,44.81,44.365,44.5262421383648,2020-12-23,79.81000000000039,79.4199999999994,64423.55214723927,80.43,79.57,80.14728527607359,2020-12-23,223.8200000000007,223.94000000000108,210794.57817109145,223.99,221.55,222.67545722713868
138,2020-12-24,44.4220454545455,44.375,90470.0,44.605,44.21,44.384502923976605,2020-12-24,80.06791469194285,79.76000000000015,39686.92417061611,80.43,79.87,80.16866863905322,2020-12-24,221.55850000000103,221.0199999999992,93614.35,223.605,221.24,222.33240112994363
139,2020-12-28,44.85000000000023,44.540000000000326,150893.26315789475,45.35,44.71,44.933256578947386,2020-12-28,80.66500000000059,80.13999999999966,49268.45222929936,81.125,80.135,80.43947452229305,2020-12-28,224.19999999999865,222.75,173551.67267267266,226.01,223.05,225.0449549549551
140,2020-12-29,44.97999999999969,44.92000000000006,148423.19937694704,45.225,44.515,44.7402647975078,2020-12-29,80.66999999999938,80.45000000000046,70486.98170731707,81.585,80.67,81.23704268292677,2020-12-29,225.7799999999992,224.95999999999987,184420.9968553459,227.14,223.605,224.89666666666665
141,2020-12-30,44.60000000000023,44.639999999999866,98310.35016835017,45.06,44.435,44.64385521885526,2020-12-30,81.50999999999954,81.4199999999994,78794.93670886075,81.73,80.63,81.15523734177216,2020-12-30,224.83999999999816,224.1500000000005,221048.715625,225.61,221.52,222.7201406250001
142,2020-12-31,44.38500000000018,44.4799999999997,140153.92744479494,44.795,44.155,44.33694620253165,2020-12-31,80.61999999999993,80.59000000000012,44866.81632653061,81.895,80.41,80.9030272108844,2020-12-31,221.79000000000028,221.6799999999997,200716.41455696203,222.715,219.69,220.7644778481013
143,2021-01-04,44.52000000000031,44.75,274082.9409937888,44.58,43.35,43.75200310558999,2021-01-04,82.34999999999961,81.79999999999954,154654.3670886076,82.37,79.895,80.55838607594939,2021-01-04,223.07000000000016,222.41999999999868,360775.7628205128,223.1,214.86,217.707419871795
144,2021-01-05,43.57999999999994,43.95999999999968,310649.81433224754,44.065,43.375,43.757573289902254,2021-01-05,81.0,80.95999999999943,144637.71935483871,81.395,79.91,80.58730645161289,2021-01-05,217.55999999999904,217.6900000000009,257744.53184713377,218.5,215.98,217.1064012738854
